%Timestamp,timestamp_write;timestamp_gotpupil;eyetrackertime;norm_pos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;igitalOutp3;DigitalOutp4;nplanes;lastaction;lastactiondetails;positivescore;negativescore;targetpositions;collision_point
06:40:30:281;06:40:30:281;0;4;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:222;1447954828.03;(0.3208763599395752, 0.2428936428493924);26.0070610046;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:282;06:40:30:282;0;4;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:222;1447954828.03;(0.3208763599395752, 0.2428936428493924);26.0070610046;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:284;06:40:30:284;0;4;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:222;1447954828.03;(0.3208763599395752, 0.2428936428493924);26.0070610046;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:286;06:40:30:286;0;4;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:222;1447954828.03;(0.3208763599395752, 0.2428936428493924);26.0070610046;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:287;06:40:30:287;0;4;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:222;1447954828.03;(0.3208763599395752, 0.2428936428493924);26.0070610046;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:289;06:40:30:289;0;4;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:222;1447954828.03;(0.3208763599395752, 0.2428936428493924);26.0070610046;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:290;06:40:30:290;0;4;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:222;1447954828.03;(0.3208763599395752, 0.2428936428493924);26.0070610046;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:292;06:40:30:292;0;4;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:222;1447954828.03;(0.3208763599395752, 0.2428936428493924);26.0070610046;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:293;06:40:30:293;0;4;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:222;1447954828.03;(0.3208763599395752, 0.2428936428493924);26.0070610046;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:295;06:40:30:295;0;4;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:222;1447954828.03;(0.3208763599395752, 0.2428936428493924);26.0070610046;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:298;06:40:30:298;0;4;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:222;1447954828.03;(0.3208763599395752, 0.2428936428493924);26.0070610046;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:302;06:40:30:302;0;4;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:222;1447954828.03;(0.3208763599395752, 0.2428936428493924);26.0070610046;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:332;06:40:30:332;0;9;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:306;1447954828.09;(0.32054550647735597, 0.24345050387912326);26.0457210541;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:348;06:40:30:348;0;15;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:306;1447954828.09;(0.32054550647735597, 0.24345050387912326);26.0457210541;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:365;06:40:30:365;0;10;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:306;1447954828.09;(0.32054550647735597, 0.24345050387912326);26.0457210541;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:382;06:40:30:381;0;12;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:306;1447954828.09;(0.32054550647735597, 0.24345050387912326);26.0457210541;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:398;06:40:30:398;0;9;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:390;1447954828.16;(0.3205636262893677, 0.2432402716742621);26.3497085571;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:431;06:40:30:431;0;4;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:430;1447954828.23;(0.3209985256195068, 0.2428764343261719);26.0974979401;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:448;06:40:30:448;0;0;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:430;1447954828.23;(0.3209985256195068, 0.2428764343261719);26.0974979401;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:464;06:40:30:464;0;10;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:430;1447954828.23;(0.3209985256195068, 0.2428764343261719);26.0974979401;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:482;06:40:30:482;0;15;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:430;1447954828.23;(0.3209985256195068, 0.2428764343261719);26.0974979401;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:497;06:40:30:497;0;9;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:430;1447954828.23;(0.3209985256195068, 0.2428764343261719);26.0974979401;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:530;06:40:30:530;0;5;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:515;1447954828.29;(0.32064864635467527, 0.24299155341254342);26.0707416534;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:547;06:40:30:547;0;15;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:515;1447954828.29;(0.32064864635467527, 0.24299155341254342);26.0707416534;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:564;06:40:30:564;0;4;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:554;1447954828.36;(0.32066094875335693, 0.24281438191731775);26.3926334381;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:580;06:40:30:580;0;15;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:554;1447954828.36;(0.32066094875335693, 0.24281438191731775);26.3926334381;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:614;06:40:30:614;0;1;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:554;1447954828.36;(0.32066094875335693, 0.24281438191731775);26.3926334381;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:630;06:40:30:630;0;5;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:554;1447954828.36;(0.32066094875335693, 0.24281438191731775);26.3926334381;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:647;06:40:30:646;0;15;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:638;1447954828.43;(0.3203340768814087, 0.2433409796820747);26.6308956146;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:663;06:40:30:663;0;4;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:638;1447954828.43;(0.3203340768814087, 0.2433409796820747);26.6308956146;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:679;06:40:30:679;0;10;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:638;1447954828.43;(0.3203340768814087, 0.2433409796820747);26.6308956146;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:722;06:40:30:722;0;10;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:638;1447954828.43;(0.3203340768814087, 0.2433409796820747);26.6308956146;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:724;06:40:30:724;0;5;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:723;1447954828.49;(0.3202779293060303, 0.24262729220920143);26.1672420502;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:750;06:40:30:749;0;10;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:723;1447954828.49;(0.3202779293060303, 0.24262729220920143);26.1672420502;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:766;06:40:30:766;0;0;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:762;1447954828.56;(0.3201545238494873, 0.24338328043619795);26.0082969666;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:783;06:40:30:783;0;10;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:762;1447954828.56;(0.3201545238494873, 0.24338328043619795);26.0082969666;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:30:799;06:40:30:799;0;15;-1.5;1;0;0;0;0;1;1;1;1;06:40:30:762;1447954828.56;(0.3201545238494873, 0.24338328043619795);26.0082969666;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
