%Timestamp,timestamp_write;timestamp_gotpupil;eyetrackertime;norm_pos;diameter;confidence;nplanes;lastaction;lastactiondetails;positivescore;negativescore;targetpositions;collision_point
08:14:26:507;08:14:26:459;1447960464.28;(0.31534290313720703, 0.25080066257052946);27.0643825531;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:540;08:14:26:526;1447960464.34;(0.31575727462768555, 0.25063501993815107);26.859790802;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:557;08:14:26:526;1447960464.34;(0.31575727462768555, 0.25063501993815107);26.859790802;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:574;08:14:26:526;1447960464.34;(0.31575727462768555, 0.25063501993815107);26.859790802;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:590;08:14:26:590;1447960464.41;(0.31586227416992185, 0.2503942701551649);26.4974536896;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:607;08:14:26:590;1447960464.41;(0.31586227416992185, 0.2503942701551649);26.4974536896;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:624;08:14:26:590;1447960464.41;(0.31586227416992185, 0.2503942701551649);26.4974536896;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:657;08:14:26:590;1447960464.41;(0.31586227416992185, 0.2503942701551649);26.4974536896;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:674;08:14:26:659;1447960464.48;(0.31575963497161863, 0.25067138671875);26.6207809448;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:690;08:14:26:659;1447960464.48;(0.31575963497161863, 0.25067138671875);26.6207809448;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:707;08:14:26:659;1447960464.48;(0.31575963497161863, 0.25067138671875);26.6207809448;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:740;08:14:26:721;1447960464.54;(0.315731406211853, 0.25056593153211804);26.269865036;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:757;08:14:26:721;1447960464.54;(0.315731406211853, 0.25056593153211804);26.269865036;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:773;08:14:26:721;1447960464.54;(0.315731406211853, 0.25056593153211804);26.269865036;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:790;08:14:26:790;1447960464.61;(0.31565423011779786, 0.25021464029947915);27.0445976257;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:808;08:14:26:790;1447960464.61;(0.31565423011779786, 0.25021464029947915);27.0445976257;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:825;08:14:26:790;1447960464.61;(0.31565423011779786, 0.25021464029947915);27.0445976257;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:858;08:14:26:790;1447960464.61;(0.31565423011779786, 0.25021464029947915);27.0445976257;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:876;08:14:26:859;1447960464.68;(0.31576569080352784, 0.2500520494249132);26.7523269653;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:891;08:14:26:859;1447960464.68;(0.31576569080352784, 0.2500520494249132);26.7523269653;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:908;08:14:26:859;1447960464.68;(0.31576569080352784, 0.2500520494249132);26.7523269653;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:925;08:14:26:921;1447960464.74;(0.31575870513916016, 0.25057907104492183);26.9976825714;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:958;08:14:26:921;1447960464.74;(0.31575870513916016, 0.25057907104492183);26.9976825714;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:974;08:14:26:921;1447960464.74;(0.31575870513916016, 0.25057907104492183);26.9976825714;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:991;08:14:26:990;1447960464.81;(0.3157937049865723, 0.2505466885036892);26.2542972565;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:27:008;08:14:26:990;1447960464.81;(0.3157937049865723, 0.2505466885036892);26.2542972565;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:27:026;08:14:26:990;1447960464.81;(0.3157937049865723, 0.2505466885036892);26.2542972565;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:27:060;08:14:27:053;1447960464.88;(0.3158928155899048, 0.25013139512803817);26.1437950134;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:27:076;08:14:27:053;1447960464.88;(0.3158928155899048, 0.25013139512803817);26.1437950134;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:27:093;08:14:27:053;1447960464.88;(0.3158928155899048, 0.25013139512803817);26.1437950134;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:27:109;08:14:27:053;1447960464.88;(0.3158928155899048, 0.25013139512803817);26.1437950134;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:27:126;08:14:27:122;1447960464.94;(0.3156218290328979, 0.2500198364257813);26.6919250488;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
