%Timestamp,timestamp_write;timestamp_gotpupil;eyetrackertime;norm_pos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;igitalOutp3;DigitalOutp4;nplanes;lastaction;lastactiondetails;lastactionairplanenumber;positivescore;negativescore;collidedairplanenumbers;targetpositions;collision_point
04:37:48:636;1448034826.66;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(0.0, 0.0);
04:37:51:688;04:37:51:545;1448034829.59;(0.3396917343139648, 0.8045054117838542);33.1223640442;0.782559492697;04:37:51:688;0;4;-1.5;170.5;1.17302052785924;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:705;04:37:51:545;1448034829.59;(0.3396917343139648, 0.8045054117838542);33.1223640442;0.782559492697;04:37:51:705;0;15;-1.5;146.142857142857;1.46627565982405;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:720;04:37:51:545;1448034829.59;(0.3396917343139648, 0.8045054117838542);33.1223640442;0.782559492697;04:37:51:720;0;10;-1.5;170.5;1.17302052785924;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:738;04:37:51:545;1448034829.59;(0.3396917343139648, 0.8045054117838542);33.1223640442;0.782559492697;04:37:51:738;0;10;-1.5;170.5;1.17302052785924;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:754;04:37:51:746;1448034829.8;(0.624332332611084, 0.6701628790961371);70.7679367065;0.939739322084;04:37:51:754;0;5;-1.5;170.5;1.17302052785924;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:788;04:37:51:746;1448034829.8;(0.624332332611084, 0.6701628790961371);70.7679367065;0.939739322084;04:37:51:788;0;5;-1.5;170.5;1.17302052785924;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:805;04:37:51:746;1448034829.8;(0.624332332611084, 0.6701628790961371);70.7679367065;0.939739322084;04:37:51:805;0;10;-1.5;170.5;1.17302052785924;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:821;04:37:51:814;1448034829.89;(0.6237476825714111, 0.6737362755669487);70.3892211914;1.0;04:37:51:821;0;5;-1.5;170.5;1.17302052785924;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:838;04:37:51:814;1448034829.89;(0.6237476825714111, 0.6737362755669487);70.3892211914;1.0;04:37:51:838;0;10;-1.5;1;0;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:854;04:37:51:814;1448034829.89;(0.6237476825714111, 0.6737362755669487);70.3892211914;1.0;04:37:51:854;0;4;-1.5;1;0;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:886;04:37:51:877;1448034829.92;(0.6232646465301513, 0.6736246532864041);70.2539901733;1.0;04:37:51:886;0;4;-1.5;1;0;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:904;04:37:51:877;1448034829.92;(0.6232646465301513, 0.6736246532864041);70.2539901733;1.0;04:37:51:904;0;10;-1.5;1;0;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:921;04:37:51:877;1448034829.92;(0.6232646465301513, 0.6736246532864041);70.2539901733;1.0;04:37:51:921;0;13;-1.5;170.5;1.17302052785924;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:938;04:37:51:877;1448034829.92;(0.6232646465301513, 0.6736246532864041);70.2539901733;1.0;04:37:51:938;0;9;-1.5;170.5;1.17302052785924;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:954;04:37:51:946;1448034829.99;(0.6225005626678467, 0.67380494011773);70.4443969727;1.0;04:37:51:954;0;0;-1.5;170.5;1.17302052785924;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:987;04:37:51:946;1448034829.99;(0.6225005626678467, 0.67380494011773);70.4443969727;1.0;04:37:51:987;0;15;-1.5;170.5;1.17302052785924;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:52:004;04:37:51:946;1448034829.99;(0.6225005626678467, 0.67380494011773);70.4443969727;1.0;04:37:52:004;0;9;-1.5;170.5;1.17302052785924;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:52:021;04:37:52:014;1448034830.06;(0.6397382259368897, 0.6551627688937717);70.0383605957;1.0;04:37:52:021;0;15;-1.5;170.5;1.17302052785924;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:52:038;04:37:52:014;1448034830.06;(0.6397382259368897, 0.6551627688937717);70.0383605957;1.0;04:37:52:038;0;4;-1.5;170.5;1.17302052785924;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:52:054;04:37:52:014;1448034830.06;(0.6397382259368897, 0.6551627688937717);70.0383605957;1.0;04:37:52:054;0;0;-1.5;170.5;1.17302052785924;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
